action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,2617215,[],CHEMBL1020360,Inhibition of Hsp90,B,,,BAO_0000190,BAO_0000357,single protein format,C[C@@H]1C/C=C/CC/C=C/C(=O)Cc2c(Cl)c(O)cc(O)c2C(=O)O1,,,CHEMBL1154504,Bioorg Med Chem,2009,"{'bei': '20.23', 'le': '0.40', 'lle': '3.40', 'sei': '8.47'}",CHEMBL526127,POCHONIN D,CHEMBL526127,7.10,0,http://www.openphacts.org/units/Nanomolar,777456,=,1,1,=,,IC50,nM,,80.0,CHEMBL4303,Homo sapiens,Heat shock protein HSP 90-beta,9606,,,IC50,nM,UO_0000065,,80.0
,,2617216,[],CHEMBL1020360,Inhibition of Hsp90,B,,,BAO_0000190,BAO_0000357,single protein format,C[C@H]1CCCC(=O)CCCCCc2cc(O)cc(O)c2C(=O)O1,,,CHEMBL1154504,Bioorg Med Chem,2009,"{'bei': '21.99', 'le': '0.42', 'lle': '3.55', 'sei': '8.40'}",CHEMBL491499,ZEARALANONE,CHEMBL491499,7.05,0,http://www.openphacts.org/units/Nanomolar,777458,=,1,1,=,,IC50,nM,,90.0,CHEMBL4303,Homo sapiens,Heat shock protein HSP 90-beta,9606,,,IC50,nM,UO_0000065,,90.0
,,2617218,[],CHEMBL1020361,Inhibition of Hsp90 in human MCF7 cells assessed as Her2 degradation,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCCn1c(Cc2cc(OC)c(OC)c(OC)c2)nc2c(N)ncnc21,,,CHEMBL1154504,Bioorg Med Chem,2009,"{'bei': '16.15', 'le': '0.30', 'lle': '3.17', 'sei': '6.17'}",CHEMBL113690,,CHEMBL113690,6.00,0,http://www.openphacts.org/units/Nanomolar,777534,=,1,1,=,,IC50,nM,,1000.0,CHEMBL4303,Homo sapiens,Heat shock protein HSP 90-beta,9606,,,IC50,uM,UO_0000065,,1.0
,,2617220,[],CHEMBL1020363,Inhibition of Hsp90 assessed as Her2 degradation by cell based assay,B,,,BAO_0000190,BAO_0000219,cell-based format,C#CCCCn1c(Sc2cc(OC)ccc2I)nc2c(N)ncnc21,,,CHEMBL1154504,Bioorg Med Chem,2009,"{'bei': '14.08', 'le': '0.36', 'lle': '2.96', 'sei': '8.31'}",CHEMBL191635,,CHEMBL191635,6.55,0,http://www.openphacts.org/units/Nanomolar,777683,=,1,1,=,,IC50,nM,,280.0,CHEMBL4303,Homo sapiens,Heat shock protein HSP 90-beta,9606,,,IC50,uM,UO_0000065,,0.28
,,2617222,[],CHEMBL1020364,Inhibition of Hsp90 in human SKBR3 cells assessed as Her2 degradation,B,,,BAO_0000190,BAO_0000219,cell-based format,C#CCCCn1c(Sc2cc3c(cc2Br)OCO3)nc2c(N)ncnc21,,,CHEMBL1154504,Bioorg Med Chem,2009,"{'bei': '15.09', 'le': '0.34', 'lle': '3.06', 'sei': '7.41'}",CHEMBL365159,,CHEMBL365159,6.52,0,http://www.openphacts.org/units/Nanomolar,777684,=,1,1,=,,IC50,nM,,300.0,CHEMBL4303,Homo sapiens,Heat shock protein HSP 90-beta,9606,,,IC50,nM,UO_0000065,,300.0
,,2617225,[],CHEMBL1020361,Inhibition of Hsp90 in human MCF7 cells assessed as Her2 degradation,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(I)c(Sc2nc3c(N)ncnc3n2CCCNC(C)(C)C)c1,,,CHEMBL1154504,Bioorg Med Chem,2009,"{'bei': '15.33', 'le': '0.38', 'lle': '3.90', 'sei': '8.64'}",CHEMBL199532,,CHEMBL199532,7.85,0,http://www.openphacts.org/units/Nanomolar,777685,=,1,1,=,,IC50,nM,,14.0,CHEMBL4303,Homo sapiens,Heat shock protein HSP 90-beta,9606,,,IC50,nM,UO_0000065,,14.0
,,2617228,[],CHEMBL1020361,Inhibition of Hsp90 in human MCF7 cells assessed as Her2 degradation,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(I)c(Sc2nc3c(N)ncnc3n2CCNCC(C)(C)C)c1,,,CHEMBL1154504,Bioorg Med Chem,2009,"{'bei': '13.75', 'le': '0.34', 'lle': '3.24', 'sei': '7.75'}",CHEMBL381115,,CHEMBL381115,7.05,0,http://www.openphacts.org/units/Nanomolar,777686,=,1,1,=,,IC50,nM,,90.0,CHEMBL4303,Homo sapiens,Heat shock protein HSP 90-beta,9606,,,IC50,nM,UO_0000065,,90.0
,,2617230,[],CHEMBL1020364,Inhibition of Hsp90 in human SKBR3 cells assessed as Her2 degradation,B,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)NCCCn1c(Cc2cc3c(cc2I)OCO3)nc2c(N)nc(F)nc21,,,CHEMBL1154504,Bioorg Med Chem,2009,"{'bei': '13.75', 'le': '0.33', 'lle': '4.19', 'sei': '7.04'}",CHEMBL200001,,CHEMBL200001,7.05,0,http://www.openphacts.org/units/Nanomolar,777769,=,1,1,=,,IC50,nM,,90.0,CHEMBL4303,Homo sapiens,Heat shock protein HSP 90-beta,9606,,,IC50,nM,UO_0000065,,90.0
,,2617234,[],CHEMBL1020361,Inhibition of Hsp90 in human MCF7 cells assessed as Her2 degradation,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCCn1c(Sc2nc3cccc(Cl)c3s2)nc2c(N)ncnc21,,,CHEMBL1154504,Bioorg Med Chem,2009,"{'bei': '17.25', 'le': '0.37', 'lle': '2.12', 'sei': '8.17'}",CHEMBL213262,,CHEMBL213262,6.75,0,http://www.openphacts.org/units/Nanomolar,777771,=,1,1,=,,IC50,nM,,180.0,CHEMBL4303,Homo sapiens,Heat shock protein HSP 90-beta,9606,,,IC50,nM,UO_0000065,,180.0
,,2617235,[],CHEMBL1020361,Inhibition of Hsp90 in human MCF7 cells assessed as Her2 degradation,B,,,BAO_0000190,BAO_0000219,cell-based format,Nc1ncnc2c1nc(Sc1nc3cccc(Cl)c3s1)n2CCNC1CC1,,,CHEMBL1154504,Bioorg Med Chem,2009,"{'bei': '16.65', 'le': '0.35', 'lle': '3.39', 'sei': '7.36'}",CHEMBL215947,,CHEMBL215947,6.96,0,http://www.openphacts.org/units/Nanomolar,777772,=,1,1,=,,IC50,nM,,110.0,CHEMBL4303,Homo sapiens,Heat shock protein HSP 90-beta,9606,,,IC50,nM,UO_0000065,,110.0
,,2617237,[],CHEMBL1020361,Inhibition of Hsp90 in human MCF7 cells assessed as Her2 degradation,B,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)(C)CNCCn1c(Sc2nc3cccc(Cl)c3s2)nc2c(N)ncnc21,,,CHEMBL1154504,Bioorg Med Chem,2009,"{'bei': '15.53', 'le': '0.33', 'lle': '2.50', 'sei': '7.36'}",CHEMBL215657,,CHEMBL215657,6.96,0,http://www.openphacts.org/units/Nanomolar,777773,=,1,1,=,,IC50,nM,,110.0,CHEMBL4303,Homo sapiens,Heat shock protein HSP 90-beta,9606,,,IC50,nM,UO_0000065,,110.0
,,2617238,[],CHEMBL1020361,Inhibition of Hsp90 in human MCF7 cells assessed as Her2 degradation,B,,,BAO_0000190,BAO_0000219,cell-based format,CCOP(=O)(CCn1c(Sc2nc3cccc(Cl)c3s2)nc2c(N)ncnc21)OCC,,,CHEMBL1154504,Bioorg Med Chem,2009,"{'bei': '15.08', 'le': '0.33', 'lle': '2.43', 'sei': '6.37'}",CHEMBL377371,,CHEMBL377371,7.52,0,http://www.openphacts.org/units/Nanomolar,777848,=,1,1,=,,IC50,nM,,30.0,CHEMBL4303,Homo sapiens,Heat shock protein HSP 90-beta,9606,,,IC50,nM,UO_0000065,,30.0
,,2617239,[],CHEMBL1020361,Inhibition of Hsp90 in human MCF7 cells assessed as Her2 degradation,B,,,BAO_0000190,BAO_0000219,cell-based format,CCOP(=O)(CCn1c(Sc2nc3cncc(Br)c3s2)nc2c(N)ncnc21)OCC,,,CHEMBL1154504,Bioorg Med Chem,2009,"{'bei': '13.87', 'le': '0.33', 'lle': '2.96', 'sei': '5.77'}",CHEMBL212133,,CHEMBL212133,7.55,0,http://www.openphacts.org/units/Nanomolar,777849,=,1,1,=,,IC50,nM,,28.0,CHEMBL4303,Homo sapiens,Heat shock protein HSP 90-beta,9606,,,IC50,nM,UO_0000065,,28.0
,,2617240,[],CHEMBL1020361,Inhibition of Hsp90 in human MCF7 cells assessed as Her2 degradation,B,,,BAO_0000190,BAO_0000219,cell-based format,CCOP(=O)(CCn1c(Sc2nc3cncc(Cl)c3s2)nc2c(N)ncnc21)OCC,,,CHEMBL1154504,Bioorg Med Chem,2009,"{'bei': '15.05', 'le': '0.33', 'lle': '3.04', 'sei': '5.75'}",CHEMBL212850,,CHEMBL212850,7.52,0,http://www.openphacts.org/units/Nanomolar,777850,=,1,1,=,,IC50,nM,,30.0,CHEMBL4303,Homo sapiens,Heat shock protein HSP 90-beta,9606,,,IC50,nM,UO_0000065,,30.0
,,2617241,[],CHEMBL1020363,Inhibition of Hsp90 assessed as Her2 degradation by cell based assay,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1c(C)ncc(Cn2cnc3c(Cl)nc(N)nc32)c1C,,,CHEMBL1154504,Bioorg Med Chem,2009,"{'bei': '24.15', 'le': '0.48', 'lle': '5.57', 'sei': '8.39'}",CHEMBL468781,,CHEMBL468781,7.70,0,http://www.openphacts.org/units/Nanomolar,777851,=,1,1,=,,IC50,nM,,20.0,CHEMBL4303,Homo sapiens,Heat shock protein HSP 90-beta,9606,,,IC50,nM,UO_0000065,,20.0
,,2617244,[],CHEMBL1020363,Inhibition of Hsp90 assessed as Her2 degradation by cell based assay,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1c(C)cnc(Cn2cnc3c(Cl)nc(N)nc32)c1C,,,CHEMBL1154504,Bioorg Med Chem,2009,"{'bei': '23.60', 'le': '0.47', 'lle': '5.39', 'sei': '8.20'}",CHEMBL467399,BIIB021,CHEMBL467399,7.52,0,http://www.openphacts.org/units/Nanomolar,777852,=,1,1,=,,IC50,nM,,30.0,CHEMBL4303,Homo sapiens,Heat shock protein HSP 90-beta,9606,,,IC50,nM,UO_0000065,,30.0
,,2617249,[],CHEMBL1020372,Binding affinity to Hsp90 by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000357,single protein format,CCNC(=O)c1n[nH]c(-c2cc(Cl)c(O)cc2O)c1-c1ccc(OC)cc1,,,CHEMBL1154504,Bioorg Med Chem,2009,"{'bei': '19.60', 'le': '0.38', 'lle': '4.03', 'sei': '7.07'}",CHEMBL365617,,CHEMBL365617,7.60,0,http://www.openphacts.org/units/Nanomolar,777935,=,1,1,=,,IC50,nM,,25.0,CHEMBL4303,Homo sapiens,Heat shock protein HSP 90-beta,9606,,,IC50,nM,UO_0000065,,25.0
,,2617250,[],CHEMBL1020360,Inhibition of Hsp90,B,,,BAO_0000190,BAO_0000357,single protein format,CC(=O)c1ccc(NC(=O)c2cn[nH]c2-c2cc(Cl)c(O)cc2O)cc1,,,CHEMBL1154504,Bioorg Med Chem,2009,"{'bei': '17.72', 'le': '0.35', 'lle': '2.99', 'sei': '5.71'}",CHEMBL200469,,CHEMBL200469,6.59,0,http://www.openphacts.org/units/Nanomolar,777936,=,1,1,=,,IC50,nM,,258.0,CHEMBL4303,Homo sapiens,Heat shock protein HSP 90-beta,9606,,,IC50,uM,UO_0000065,,0.258
,,2617252,[],CHEMBL1020360,Inhibition of Hsp90,B,,,BAO_0000190,BAO_0000357,single protein format,NS(=O)(=O)c1ccc(CNC(=O)c2cn[nH]c2-c2cc(Cl)c(O)cc2O)cc1,,,CHEMBL1154504,Bioorg Med Chem,2009,"{'bei': '14.98', 'le': '0.31', 'lle': '4.62', 'sei': '4.00'}",CHEMBL200255,,CHEMBL200255,6.34,0,http://www.openphacts.org/units/Nanomolar,777937,=,1,1,=,,IC50,nM,,461.0,CHEMBL4303,Homo sapiens,Heat shock protein HSP 90-beta,9606,,,IC50,uM,UO_0000065,,0.461
,,2617254,[],CHEMBL1020372,Binding affinity to Hsp90 by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000357,single protein format,CS(=O)(=O)c1ccc(CN2CCN(c3cn[nH]c3-c3cc(Cl)c(O)cc3O)CC2)cc1,,,CHEMBL1154504,Bioorg Med Chem,2009,"{'bei': '13.24', 'le': '0.27', 'lle': '3.26', 'sei': '5.59'}",CHEMBL208239,,CHEMBL208239,6.13,0,http://www.openphacts.org/units/Nanomolar,778028,=,1,1,=,,IC50,nM,,740.0,CHEMBL4303,Homo sapiens,Heat shock protein HSP 90-beta,9606,,,IC50,uM,UO_0000065,,0.74
,,2617256,[],CHEMBL1020372,Binding affinity to Hsp90 by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000357,single protein format,Oc1cc(O)c(-c2n[nH]cc2N2CCN(Cc3ccccc3)CC2)cc1Cl,,,CHEMBL1154504,Bioorg Med Chem,2009,"{'bei': '16.17', 'le': '0.31', 'lle': '2.76', 'sei': '8.23'}",CHEMBL251974,,CHEMBL251974,6.22,0,http://www.openphacts.org/units/Nanomolar,778029,=,1,1,=,,IC50,nM,,600.0,CHEMBL4303,Homo sapiens,Heat shock protein HSP 90-beta,9606,,,IC50,uM,UO_0000065,,0.6
,,2617259,[],CHEMBL1020372,Binding affinity to Hsp90 by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000357,single protein format,CCNC(=O)c1noc(-c2cc(Cl)c(O)cc2O)c1-c1ccc(OC)cc1,,,CHEMBL1154504,Bioorg Med Chem,2009,"{'bei': '19.43', 'le': '0.38', 'lle': '3.72', 'sei': '7.21'}",CHEMBL252124,,CHEMBL252124,7.55,0,http://www.openphacts.org/units/Nanomolar,778032,=,1,1,=,,IC50,nM,,28.0,CHEMBL4303,Homo sapiens,Heat shock protein HSP 90-beta,9606,,,IC50,nM,UO_0000065,,28.0
,,2617265,[],CHEMBL1020372,Binding affinity to Hsp90 by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000357,single protein format,O=S(=O)(Nc1ccc(O)c(-c2c(O)ccc3ccccc23)c1)c1cc(Cl)ccc1Cl,,,CHEMBL1154504,Bioorg Med Chem,2009,"{'bei': '13.37', 'le': '0.28', 'lle': '0.12', 'sei': '7.10'}",CHEMBL371915,,CHEMBL371915,6.16,0,http://www.openphacts.org/units/Nanomolar,778122,=,1,1,=,,IC50,nM,,700.0,CHEMBL4303,Homo sapiens,Heat shock protein HSP 90-beta,9606,,,IC50,uM,UO_0000065,,0.7
,,2617267,[],CHEMBL1023070,Binding affinity to Hsp90 ATPase activity in human MCF7 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(N2C(/C=C/c3cccc(OC)c3O)=Nc3ccccc3C2O)cc1,,,CHEMBL1154504,Bioorg Med Chem,2009,"{'bei': '11.68', 'le': '0.21', 'lle': '0.04', 'sei': '6.31'}",CHEMBL458860,,CHEMBL458860,4.70,0,http://www.openphacts.org/units/Nanomolar,778212,=,1,1,=,,IC50,nM,,20000.0,CHEMBL4303,Homo sapiens,Heat shock protein HSP 90-beta,9606,,,IC50,uM,UO_0000065,,20.0
,,2617270,[],CHEMBL1020356,Binding affinity to Hsp90 in human SKBR3 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,C=CCNC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,,,CHEMBL1154504,Bioorg Med Chem,2009,"{'bei': '12.77', 'le': '0.24', 'lle': '4.94', 'sei': '4.50'}",CHEMBL109480,TANESPIMYCIN,CHEMBL109480,7.48,0,http://www.openphacts.org/units/Nanomolar,778739,=,1,1,=,,IC50,nM,,33.0,CHEMBL4303,Homo sapiens,Heat shock protein HSP 90-beta,9606,,,IC50,nM,UO_0000065,,33.0
,,2617272,[],CHEMBL1020361,Inhibition of Hsp90 in human MCF7 cells assessed as Her2 degradation,B,,,BAO_0000190,BAO_0000219,cell-based format,C=CCNC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,,,CHEMBL1154504,Bioorg Med Chem,2009,"{'bei': '13.36', 'le': '0.25', 'lle': '5.28', 'sei': '4.71'}",CHEMBL109480,TANESPIMYCIN,CHEMBL109480,7.82,0,http://www.openphacts.org/units/Nanomolar,778739,=,1,1,=,,IC50,nM,,15.0,CHEMBL4303,Homo sapiens,Heat shock protein HSP 90-beta,9606,,,IC50,nM,UO_0000065,,15.0
,,2617273,[],CHEMBL1020372,Binding affinity to Hsp90 by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000357,single protein format,Oc1cc(O)c(-c2noc3ccc(NCCN4CCOCC4)cc23)cc1Cl,,,CHEMBL1154504,Bioorg Med Chem,2009,"{'bei': '19.30', 'le': '0.38', 'lle': '4.22', 'sei': '8.27'}",CHEMBL404630,,CHEMBL404630,7.52,0,http://www.openphacts.org/units/Nanomolar,778121,=,1,1,=,,IC50,nM,,30.0,CHEMBL4303,Homo sapiens,Heat shock protein HSP 90-beta,9606,,,IC50,nM,UO_0000065,,30.0
,,2617274,[],CHEMBL1020372,Binding affinity to Hsp90 by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000357,single protein format,COC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,,,CHEMBL1154504,Bioorg Med Chem,2009,"{'bei': '13.73', 'le': '0.26', 'lle': '5.29', 'sei': '4.71'}",CHEMBL278315,GELDANAMYCIN,CHEMBL278315,7.70,0,http://www.openphacts.org/units/Nanomolar,778738,=,1,1,=,,IC50,nM,,20.0,CHEMBL4303,Homo sapiens,Heat shock protein HSP 90-beta,9606,,,IC50,nM,UO_0000065,,20.0
